level,lang,suggestion
high,french,"Des indicateurs cliniques suggèrent un niveau élevé de stress psychologique."
high,french,"Une surcharge mentale importante a été détectée par l’analyse textuelle."
high,french,"Le niveau de stress dépasse le seuil d’adaptation recommandé."
high,french,"Une intervention immédiate visant à réduire la pression mentale est conseillée."
high,french,"L’état émotionnel actuel nécessite une phase de récupération."
high,arabic,"تم رصد إجهاد ذهني يتجاوز القدرة التكيفية."
high,arabic,"يُنصح بتقليل العبء المعرفي بشكل فوري."
high,arabic,"الحالة النفسية الحالية تتطلب تهدئة عاجلة."
high,arabic,"تم تحديد مستوى توتر مرتفع وفق التحليل النصي."
high,darija_lat,"Kayban baly kayn ijhad nafssi kbir khassou tadakhol daba."
high,darija_lat,"Dghot nafssi tal3, wa9fa tibbya sghira t9dar t3awn."
high,darija_lat,"Halat dyal stress faw9 lhad l3adi."
high,darija_lat,"Khass tna9as lmahamm bach t7afed 3la tawaazon."
high,darija_lat,"Kayban t3ya nafssi mohim."
high,darija_ar,"كاين إجهاد نفسي كبير خاصو تدخل فوري."
high,darija_ar,"الضغط النفسي طالع بزاف دابا."
high,darija_ar,"الحالة كتحتاج تهدئة وتنظيم."
high,darija_ar,"الستريس وصل لمستوى عالي."
high,darija_ar,"خاص واحد الوقفة باش ترجع التوازن."
high,mixed,"High stress level detected، الحالة كتحتاج تهدئة عاجلة."
high,mixed,"Stress clinique élevé، دير pause و نظم التنفس."
high,mixed,"Model predicts high stress، خاص تخفيف الضغط."
high,mixed,"Stress tal3 بزاف حسب l’analyse."
high,mixed,"Psychological overload detected، راحة ضرورية."
medium,english,"Moderate stress indicators observed. Preventive regulation strategies are recommended."
medium,english,"The stress level remains manageable with appropriate task organization."
medium,english,"Mild to moderate emotional tension detected."
medium,english,"Preventive relaxation techniques may help stabilize the condition."
medium,english,"Stress signals indicate the need for balanced pacing."
medium,french,"Un stress modéré a été identifié par l’analyse."
medium,french,"La charge émotionnelle reste contrôlable."
medium,french,"Des mesures préventives peuvent améliorer l’état général."
medium,french,"Le niveau de stress nécessite une attention légère."
medium,french,"Une organisation adaptée peut réduire la tension."
medium,arabic,"تشير النتائج إلى توتر متوسط قابل للإدارة."
medium,arabic,"الحالة النفسية مستقرة نسبيًا."
medium,arabic,"يُنصح بإجراءات وقائية بسيطة."
medium,arabic,"الضغط الذهني ضمن المستوى الطبيعي."
medium,arabic,"التوتر لا يتطلب تدخلًا عاجلًا."
medium,darija_lat,"Kayban stress motawassit, tndim lwa9t ghadi yfid."
medium,darija_lat,"Hala nafssiya m3a9ola daba."
medium,darija_lat,"Doghot mazel mta7akkam fih."
medium,darija_lat,"Wa9afat sghar t9dar t7ssen lwad3."
medium,darija_lat,"Khass shwiya dyal tanzim."
medium,darija_ar,"كاين شوية ضغط ولكن الوضع متوازن."
medium,darija_ar,"التوتر متوسط وماشي خطير."
medium,darija_ar,"الحالة محتاجة غير تنظيم."
medium,darija_ar,"الضغط النفسي قابل للتحكم."
medium,darija_ar,"ما كاين حتى استعجال."
medium,mixed,"Stress medium détecté، غير شوية تنظيم."
medium,mixed,"Model kay3ti stress متوسط، الوضع متحكم فيه."
medium,mixed,"Moderate stress، دير pauses صغار."
medium,mixed,"Tension moyenne حسب l’analyse."
medium,mixed,"Stress manageable، ما كاين قلق."
low,english,"Low stress indicators detected. Emotional balance appears stable."
low,english,"The model identifies minimal psychological strain."
low,english,"Current stress levels are within normal range."
low,english,"No corrective action is required at this stage."
low,english,"Emotional regulation appears effective."
low,french,"Un faible niveau de stress a été détecté."
low,french,"L’état émotionnel est stable."
low,french,"Aucune surcharge mentale significative observée."
low,french,"Le bien-être psychologique est préservé."
low,french,"Les indicateurs sont rassurants."
low,arabic,"تم رصد مستوى منخفض من التوتر."
low,arabic,"الحالة النفسية مستقرة."
low,arabic,"لا توجد مؤشرات ضغط مقلقة."
low,arabic,"التوازن النفسي واضح."
low,arabic,"الوضع الحالي طبيعي."
low,darija_lat,"Stress d3if w lwad3 mzyan."
low,darija_lat,"Makaynach 3alamat dyal ijhad."
low,darija_lat,"Tawazon nafssi bayn."
low,darija_lat,"Kolchi msta9r daba."
low,darija_lat,"Lhala tabiiya."
low,darija_ar,"ما كاين حتى ضغط مهم."
low,darija_ar,"الوضع النفسي مزيان."
low,darija_ar,"الستريس ضعيف."
low,darija_ar,"الحالة مستقرة."
low,darija_ar,"كلشي طبيعي."
low,mixed,"Low stress detected، الحالة مستقرة."
low,mixed,"Stress faible حسب l’analyse."
low,mixed,"Model kaychouf tawaazon nafssi."
low,mixed,"No stress concern، كلشي مزيان."
low,mixed,"Psychological state stable، ما كاين قلق."
high,arabic,"تشير المؤشرات النفسية إلى إرهاق ذهني واضح."
high,arabic,"تم تحديد حمل نفسي مرتفع يتطلب الراحة."
high,arabic,"الضغط العاطفي الحالي قد يؤثر على الأداء."
high,arabic,"يُنصح باتخاذ إجراءات تهدئة فورية."
medium,english,"Mild psychological strain detected. Balanced workload management is advised."
medium,english,"Stress indicators suggest the need for light regulation strategies."
medium,english,"Moderate emotional activation observed without critical impact."
medium,english,"Preventive self-care may enhance emotional stability."
medium,french,"Une tension psychologique légère à modérée a été observée."
medium,french,"La situation reste stable mais nécessite une attention préventive."
medium,french,"Un ajustement du rythme peut améliorer le bien-être."
medium,french,"La charge mentale reste acceptable."
medium,arabic,"تم رصد توتر خفيف إلى متوسط."
medium,arabic,"الحالة مستقرة لكن تستفيد من تنظيم أفضل."
medium,arabic,"لا يوجد خطر فوري، فقط إجراءات وقائية."
medium,arabic,"التوازن النفسي شبه مستقر."
low,french,"Les indicateurs montrent un bon équilibre psychologique."
low,french,"Aucune tension émotionnelle notable."
low,french,"L’état mental est régulé."
low,french,"Le niveau de stress est optimal."
low,arabic,"المؤشرات النفسية مطمئنة."
low,arabic,"لا يوجد ضغط نفسي ملحوظ."
low,arabic,"التوازن العاطفي جيد."
low,arabic,"الحالة مستقرة تمامًا."
low,darija_lat,"Ma kayn ta dghot mohim."
low,darija_lat,"Halat nafssiya mzyana."
low,darija_lat,"Tawaazon wadih."
low,mixed,"Low stress confirmed، الحالة مريحة."
low,mixed,"Model kaychouf stabilité nafssiya."
low,mixed,"Stress faible بزاف."
low,mixed,"Psychological state normal."
